name,label,dataset,full_path,speaker
angry\216-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\216-angry-zhaoquanyin.wav,
angry\216-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\216-angry-ZhaoZuoxiang.wav,
angry\217-angry-liuchanhg.wav,angry,casia,CASIA\angry\217-angry-liuchanhg.wav,
angry\217-angry-wangzhe.wav,angry,casia,CASIA\angry\217-angry-wangzhe.wav,
angry\217-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\217-angry-zhaoquanyin.wav,
angry\217-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\217-angry-ZhaoZuoxiang.wav,
angry\218-angry-liuchanhg.wav,angry,casia,CASIA\angry\218-angry-liuchanhg.wav,
angry\218-angry-wangzhe.wav,angry,casia,CASIA\angry\218-angry-wangzhe.wav,
angry\218-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\218-angry-zhaoquanyin.wav,
angry\218-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\218-angry-ZhaoZuoxiang.wav,
angry\219-angry-liuchanhg.wav,angry,casia,CASIA\angry\219-angry-liuchanhg.wav,
angry\219-angry-wangzhe.wav,angry,casia,CASIA\angry\219-angry-wangzhe.wav,
angry\219-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\219-angry-zhaoquanyin.wav,
angry\219-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\219-angry-ZhaoZuoxiang.wav,
angry\220-angry-liuchanhg.wav,angry,casia,CASIA\angry\220-angry-liuchanhg.wav,
angry\220-angry-wangzhe.wav,angry,casia,CASIA\angry\220-angry-wangzhe.wav,
angry\220-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\220-angry-zhaoquanyin.wav,
angry\220-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\220-angry-ZhaoZuoxiang.wav,
angry\221-angry-liuchanhg.wav,angry,casia,CASIA\angry\221-angry-liuchanhg.wav,
angry\221-angry-wangzhe.wav,angry,casia,CASIA\angry\221-angry-wangzhe.wav,
angry\221-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\221-angry-zhaoquanyin.wav,
angry\221-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\221-angry-ZhaoZuoxiang.wav,
angry\222-angry-liuchanhg.wav,angry,casia,CASIA\angry\222-angry-liuchanhg.wav,
angry\222-angry-wangzhe.wav,angry,casia,CASIA\angry\222-angry-wangzhe.wav,
angry\222-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\222-angry-zhaoquanyin.wav,
angry\222-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\222-angry-ZhaoZuoxiang.wav,
angry\223-angry-liuchanhg.wav,angry,casia,CASIA\angry\223-angry-liuchanhg.wav,
angry\223-angry-wangzhe.wav,angry,casia,CASIA\angry\223-angry-wangzhe.wav,
angry\223-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\223-angry-zhaoquanyin.wav,
angry\223-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\223-angry-ZhaoZuoxiang.wav,
angry\224-angry-liuchanhg.wav,angry,casia,CASIA\angry\224-angry-liuchanhg.wav,
angry\224-angry-wangzhe.wav,angry,casia,CASIA\angry\224-angry-wangzhe.wav,
angry\224-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\224-angry-zhaoquanyin.wav,
angry\224-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\224-angry-ZhaoZuoxiang.wav,
angry\225-angry-liuchanhg.wav,angry,casia,CASIA\angry\225-angry-liuchanhg.wav,
angry\225-angry-wangzhe.wav,angry,casia,CASIA\angry\225-angry-wangzhe.wav,
angry\225-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\225-angry-zhaoquanyin.wav,
angry\225-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\225-angry-ZhaoZuoxiang.wav,
angry\226-angry-liuchanhg.wav,angry,casia,CASIA\angry\226-angry-liuchanhg.wav,
angry\226-angry-wangzhe.wav,angry,casia,CASIA\angry\226-angry-wangzhe.wav,
angry\226-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\226-angry-zhaoquanyin.wav,
angry\226-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\226-angry-ZhaoZuoxiang.wav,
angry\227-angry-liuchanhg.wav,angry,casia,CASIA\angry\227-angry-liuchanhg.wav,
angry\227-angry-wangzhe.wav,angry,casia,CASIA\angry\227-angry-wangzhe.wav,
angry\227-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\227-angry-zhaoquanyin.wav,
angry\227-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\227-angry-ZhaoZuoxiang.wav,
angry\228-angry-liuchanhg.wav,angry,casia,CASIA\angry\228-angry-liuchanhg.wav,
angry\228-angry-wangzhe.wav,angry,casia,CASIA\angry\228-angry-wangzhe.wav,
angry\228-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\228-angry-zhaoquanyin.wav,
angry\228-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\228-angry-ZhaoZuoxiang.wav,
angry\229-angry-liuchanhg.wav,angry,casia,CASIA\angry\229-angry-liuchanhg.wav,
angry\229-angry-wangzhe.wav,angry,casia,CASIA\angry\229-angry-wangzhe.wav,
angry\229-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\229-angry-zhaoquanyin.wav,
angry\229-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\229-angry-ZhaoZuoxiang.wav,
angry\230-angry-liuchanhg.wav,angry,casia,CASIA\angry\230-angry-liuchanhg.wav,
angry\230-angry-wangzhe.wav,angry,casia,CASIA\angry\230-angry-wangzhe.wav,
angry\230-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\230-angry-zhaoquanyin.wav,
angry\230-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\230-angry-ZhaoZuoxiang.wav,
angry\231-angry-liuchanhg.wav,angry,casia,CASIA\angry\231-angry-liuchanhg.wav,
angry\231-angry-wangzhe.wav,angry,casia,CASIA\angry\231-angry-wangzhe.wav,
angry\231-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\231-angry-zhaoquanyin.wav,
angry\231-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\231-angry-ZhaoZuoxiang.wav,
angry\232-angry-liuchanhg.wav,angry,casia,CASIA\angry\232-angry-liuchanhg.wav,
angry\232-angry-wangzhe.wav,angry,casia,CASIA\angry\232-angry-wangzhe.wav,
angry\232-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\232-angry-zhaoquanyin.wav,
angry\232-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\232-angry-ZhaoZuoxiang.wav,
angry\233-angry-liuchanhg.wav,angry,casia,CASIA\angry\233-angry-liuchanhg.wav,
angry\233-angry-wangzhe.wav,angry,casia,CASIA\angry\233-angry-wangzhe.wav,
angry\233-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\233-angry-zhaoquanyin.wav,
angry\233-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\233-angry-ZhaoZuoxiang.wav,
angry\234-angry-liuchanhg.wav,angry,casia,CASIA\angry\234-angry-liuchanhg.wav,
angry\234-angry-wangzhe.wav,angry,casia,CASIA\angry\234-angry-wangzhe.wav,
angry\234-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\234-angry-zhaoquanyin.wav,
angry\234-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\234-angry-ZhaoZuoxiang.wav,
angry\235-angry-liuchanhg.wav,angry,casia,CASIA\angry\235-angry-liuchanhg.wav,
angry\235-angry-wangzhe.wav,angry,casia,CASIA\angry\235-angry-wangzhe.wav,
angry\235-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\235-angry-zhaoquanyin.wav,
angry\235-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\235-angry-ZhaoZuoxiang.wav,
angry\236-angry-liuchanhg.wav,angry,casia,CASIA\angry\236-angry-liuchanhg.wav,
angry\236-angry-wangzhe.wav,angry,casia,CASIA\angry\236-angry-wangzhe.wav,
angry\236-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\236-angry-zhaoquanyin.wav,
angry\236-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\236-angry-ZhaoZuoxiang.wav,
angry\237-angry-liuchanhg.wav,angry,casia,CASIA\angry\237-angry-liuchanhg.wav,
angry\237-angry-wangzhe.wav,angry,casia,CASIA\angry\237-angry-wangzhe.wav,
angry\237-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\237-angry-zhaoquanyin.wav,
angry\237-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\237-angry-ZhaoZuoxiang.wav,
angry\238-angry-liuchanhg.wav,angry,casia,CASIA\angry\238-angry-liuchanhg.wav,
angry\238-angry-wangzhe.wav,angry,casia,CASIA\angry\238-angry-wangzhe.wav,
angry\238-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\238-angry-zhaoquanyin.wav,
angry\238-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\238-angry-ZhaoZuoxiang.wav,
angry\239-angry-liuchanhg.wav,angry,casia,CASIA\angry\239-angry-liuchanhg.wav,
angry\239-angry-wangzhe.wav,angry,casia,CASIA\angry\239-angry-wangzhe.wav,
angry\239-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\239-angry-zhaoquanyin.wav,
angry\239-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\239-angry-ZhaoZuoxiang.wav,
angry\240-angry-liuchanhg.wav,angry,casia,CASIA\angry\240-angry-liuchanhg.wav,
angry\240-angry-wangzhe.wav,angry,casia,CASIA\angry\240-angry-wangzhe.wav,
angry\240-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\240-angry-zhaoquanyin.wav,
angry\240-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\240-angry-ZhaoZuoxiang.wav,
angry\241-angry-liuchanhg.wav,angry,casia,CASIA\angry\241-angry-liuchanhg.wav,
angry\241-angry-wangzhe.wav,angry,casia,CASIA\angry\241-angry-wangzhe.wav,
angry\241-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\241-angry-zhaoquanyin.wav,
angry\241-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\241-angry-ZhaoZuoxiang.wav,
angry\242-angry-liuchanhg.wav,angry,casia,CASIA\angry\242-angry-liuchanhg.wav,
angry\242-angry-wangzhe.wav,angry,casia,CASIA\angry\242-angry-wangzhe.wav,
angry\242-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\242-angry-zhaoquanyin.wav,
angry\242-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\242-angry-ZhaoZuoxiang.wav,
angry\243-angry-liuchanhg.wav,angry,casia,CASIA\angry\243-angry-liuchanhg.wav,
angry\243-angry-wangzhe.wav,angry,casia,CASIA\angry\243-angry-wangzhe.wav,
angry\243-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\243-angry-zhaoquanyin.wav,
angry\243-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\243-angry-ZhaoZuoxiang.wav,
angry\244-angry-liuchanhg.wav,angry,casia,CASIA\angry\244-angry-liuchanhg.wav,
angry\244-angry-wangzhe.wav,angry,casia,CASIA\angry\244-angry-wangzhe.wav,
angry\244-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\244-angry-zhaoquanyin.wav,
angry\244-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\244-angry-ZhaoZuoxiang.wav,
angry\245-angry-liuchanhg.wav,angry,casia,CASIA\angry\245-angry-liuchanhg.wav,
angry\245-angry-wangzhe.wav,angry,casia,CASIA\angry\245-angry-wangzhe.wav,
angry\245-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\245-angry-zhaoquanyin.wav,
angry\245-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\245-angry-ZhaoZuoxiang.wav,
angry\246-angry-liuchanhg.wav,angry,casia,CASIA\angry\246-angry-liuchanhg.wav,
angry\246-angry-wangzhe.wav,angry,casia,CASIA\angry\246-angry-wangzhe.wav,
angry\246-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\246-angry-zhaoquanyin.wav,
angry\246-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\246-angry-ZhaoZuoxiang.wav,
angry\247-angry-liuchanhg.wav,angry,casia,CASIA\angry\247-angry-liuchanhg.wav,
angry\247-angry-wangzhe.wav,angry,casia,CASIA\angry\247-angry-wangzhe.wav,
angry\247-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\247-angry-zhaoquanyin.wav,
angry\247-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\247-angry-ZhaoZuoxiang.wav,
angry\248-angry-liuchanhg.wav,angry,casia,CASIA\angry\248-angry-liuchanhg.wav,
angry\248-angry-wangzhe.wav,angry,casia,CASIA\angry\248-angry-wangzhe.wav,
angry\248-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\248-angry-zhaoquanyin.wav,
angry\248-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\248-angry-ZhaoZuoxiang.wav,
angry\249-angry-liuchanhg.wav,angry,casia,CASIA\angry\249-angry-liuchanhg.wav,
angry\249-angry-wangzhe.wav,angry,casia,CASIA\angry\249-angry-wangzhe.wav,
angry\249-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\249-angry-zhaoquanyin.wav,
angry\249-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\249-angry-ZhaoZuoxiang.wav,
angry\250-angry-liuchanhg.wav,angry,casia,CASIA\angry\250-angry-liuchanhg.wav,
angry\250-angry-wangzhe.wav,angry,casia,CASIA\angry\250-angry-wangzhe.wav,
angry\250-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\250-angry-zhaoquanyin.wav,
angry\250-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\250-angry-ZhaoZuoxiang.wav,
fear\201-fear-liuchanhg.wav,fear,casia,CASIA\fear\201-fear-liuchanhg.wav,
fear\201-fear-wangzhe.wav,fear,casia,CASIA\fear\201-fear-wangzhe.wav,
fear\201-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\201-fear-zhaoquanyin.wav,
fear\201-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\201-fear-ZhaoZuoxiang.wav,
fear\202-fear-liuchanhg.wav,fear,casia,CASIA\fear\202-fear-liuchanhg.wav,
fear\202-fear-wangzhe.wav,fear,casia,CASIA\fear\202-fear-wangzhe.wav,
fear\202-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\202-fear-zhaoquanyin.wav,
fear\202-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\202-fear-ZhaoZuoxiang.wav,
fear\203-fear-liuchanhg.wav,fear,casia,CASIA\fear\203-fear-liuchanhg.wav,
fear\203-fear-wangzhe.wav,fear,casia,CASIA\fear\203-fear-wangzhe.wav,
fear\203-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\203-fear-zhaoquanyin.wav,
fear\203-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\203-fear-ZhaoZuoxiang.wav,
fear\204-fear-liuchanhg.wav,fear,casia,CASIA\fear\204-fear-liuchanhg.wav,
fear\204-fear-wangzhe.wav,fear,casia,CASIA\fear\204-fear-wangzhe.wav,
fear\204-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\204-fear-zhaoquanyin.wav,
fear\204-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\204-fear-ZhaoZuoxiang.wav,
fear\205-fear-liuchanhg.wav,fear,casia,CASIA\fear\205-fear-liuchanhg.wav,
fear\205-fear-wangzhe.wav,fear,casia,CASIA\fear\205-fear-wangzhe.wav,
fear\205-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\205-fear-zhaoquanyin.wav,
fear\205-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\205-fear-ZhaoZuoxiang.wav,
fear\206-fear-liuchanhg.wav,fear,casia,CASIA\fear\206-fear-liuchanhg.wav,
fear\206-fear-wangzhe.wav,fear,casia,CASIA\fear\206-fear-wangzhe.wav,
fear\206-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\206-fear-zhaoquanyin.wav,
fear\206-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\206-fear-ZhaoZuoxiang.wav,
fear\207-fear-liuchanhg.wav,fear,casia,CASIA\fear\207-fear-liuchanhg.wav,
fear\207-fear-wangzhe.wav,fear,casia,CASIA\fear\207-fear-wangzhe.wav,
fear\207-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\207-fear-zhaoquanyin.wav,
fear\207-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\207-fear-ZhaoZuoxiang.wav,
fear\208-fear-liuchanhg.wav,fear,casia,CASIA\fear\208-fear-liuchanhg.wav,
fear\208-fear-wangzhe.wav,fear,casia,CASIA\fear\208-fear-wangzhe.wav,
fear\208-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\208-fear-zhaoquanyin.wav,
fear\208-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\208-fear-ZhaoZuoxiang.wav,
fear\209-fear-liuchanhg.wav,fear,casia,CASIA\fear\209-fear-liuchanhg.wav,
fear\209-fear-wangzhe.wav,fear,casia,CASIA\fear\209-fear-wangzhe.wav,
fear\209-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\209-fear-zhaoquanyin.wav,
fear\209-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\209-fear-ZhaoZuoxiang.wav,
fear\210-fear-liuchanhg.wav,fear,casia,CASIA\fear\210-fear-liuchanhg.wav,
fear\210-fear-wangzhe.wav,fear,casia,CASIA\fear\210-fear-wangzhe.wav,
fear\210-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\210-fear-zhaoquanyin.wav,
fear\210-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\210-fear-ZhaoZuoxiang.wav,
fear\211-fear-liuchanhg.wav,fear,casia,CASIA\fear\211-fear-liuchanhg.wav,
fear\211-fear-wangzhe.wav,fear,casia,CASIA\fear\211-fear-wangzhe.wav,
fear\211-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\211-fear-zhaoquanyin.wav,
fear\211-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\211-fear-ZhaoZuoxiang.wav,
fear\212-fear-liuchanhg.wav,fear,casia,CASIA\fear\212-fear-liuchanhg.wav,
fear\212-fear-wangzhe.wav,fear,casia,CASIA\fear\212-fear-wangzhe.wav,
fear\212-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\212-fear-zhaoquanyin.wav,
fear\212-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\212-fear-ZhaoZuoxiang.wav,
fear\213-fear-liuchanhg.wav,fear,casia,CASIA\fear\213-fear-liuchanhg.wav,
fear\213-fear-wangzhe.wav,fear,casia,CASIA\fear\213-fear-wangzhe.wav,
fear\213-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\213-fear-zhaoquanyin.wav,
fear\213-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\213-fear-ZhaoZuoxiang.wav,
fear\214-fear-liuchanhg.wav,fear,casia,CASIA\fear\214-fear-liuchanhg.wav,
fear\214-fear-wangzhe.wav,fear,casia,CASIA\fear\214-fear-wangzhe.wav,
fear\214-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\214-fear-zhaoquanyin.wav,
fear\214-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\214-fear-ZhaoZuoxiang.wav,
fear\215-fear-liuchanhg.wav,fear,casia,CASIA\fear\215-fear-liuchanhg.wav,
fear\215-fear-wangzhe.wav,fear,casia,CASIA\fear\215-fear-wangzhe.wav,
fear\215-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\215-fear-zhaoquanyin.wav,
fear\215-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\215-fear-ZhaoZuoxiang.wav,
fear\216-fear-liuchanhg.wav,fear,casia,CASIA\fear\216-fear-liuchanhg.wav,
fear\216-fear-wangzhe.wav,fear,casia,CASIA\fear\216-fear-wangzhe.wav,
fear\216-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\216-fear-zhaoquanyin.wav,
fear\216-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\216-fear-ZhaoZuoxiang.wav,
fear\217-fear-liuchanhg.wav,fear,casia,CASIA\fear\217-fear-liuchanhg.wav,
fear\217-fear-wangzhe.wav,fear,casia,CASIA\fear\217-fear-wangzhe.wav,
fear\217-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\217-fear-zhaoquanyin.wav,
fear\217-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\217-fear-ZhaoZuoxiang.wav,
fear\218-fear-liuchanhg.wav,fear,casia,CASIA\fear\218-fear-liuchanhg.wav,
fear\218-fear-wangzhe.wav,fear,casia,CASIA\fear\218-fear-wangzhe.wav,
fear\218-fear-zhaoquanyin.wav,fear,casia,CASIA\fear\218-fear-zhaoquanyin.wav,
fear\218-fear-ZhaoZuoxiang.wav,fear,casia,CASIA\fear\218-fear-ZhaoZuoxiang.wav,
fear\219-fear-liuchanhg.wav,fear,casia,CASIA\fear\219-fear-liuchanhg.wav,
fear\219-fear-wangzhe.wav,fear,casia,CASIA\fear\219-fear-wangzhe.wav,
